PID   USER     COMMAND
    1 root     {init} /bin/busybox sh /init
  291 root     [DIAG_RPMSG_DIAG]
  292 root     [DIAG_RPMSG_DIAG]
  293 root     [DIAG_RPMSG_DIAG]
  294 root     [DIAG_RPMSG_DIAG]
  295 root     [DIAG_RPMSG_DIAG]
  296 root     [DIAG_RPMSG_DIAG]
  297 root     [DIAG_RPMSG_DIAG]
  298 root     [kworker/u16:2+W]
  299 root     [diag_mhi_MDM]
  300 root     [kworker/u16:3+S]
  301 root     [DIAG_USB_diag_m]
  302 root     [diag_mhi_MDM_DC]
  303 root     [kworker/u16:4+D]
  304 root     [diag_dci_MDM_DC]
  305 root     [kworker/u16:5+C]
  306 root     [diag_mhi_MDM_2]
  307 root     [kworker/u16:6+N]
  308 root     [DIAG_USB_diag_m]
  309 root     [diag_mhi_MDM_DC]
  310 root     [kworker/u16:7-u]
  311 root     [diag_dci_MDM_DC]
  312 root     [kgsl-workqueue]
  313 root     [kgsl-mementry]
  314 root     [kgsl_worker_thr]
  315 root     [qseecom-unreg-l]
  316 root     [qseecom-unload-]
  317 root     [kworker/u16:8-u]
  318 root     [irq/183-arm-smm]
  319 root     [irq/184-arm-smm]
  320 root     [irq/185-arm-smm]
  321 root     [qcrypto_seq_res]
  322 root     [irq/186-arm-smm]
  343 root     [scsi_eh_0]
  344 root     [scsi_tmf_0]
  345 root     [ufs_pm_qos_0]
  346 root     [ufs_recovery_wq]
  347 root     [ufs_clk_gating_]
  348 root     [spi0]
  349 root     [bond0]
  350 root     [kworker/u16:9-f]
  351 root     [atlantic-fwd]
  352 root     [irq/187-arm-smm]
  357 root     [k_ipa_usb]
  360 root     [kworker/u16:10-]
  361 root     [kworker/0:2-eve]
  362 root     [irq/188-arm-smm]
  363 root     [irq/189-arm-smm]
  364 root     [kworker/u16:11-]
  365 root     [kworker/u16:12-]
  366 root     [kworker/u16:13-]
  367 root     [kworker/u16:14-]
  368 root     [kworker/u16:15-]
  369 root     [kworker/6:2-eve]
  370 root     [kworker/u17:1-d]
  371 root     [kworker/3:1H-ev]
  372 root     [kworker/2:1H-kb]
  373 root     [kworker/3:2-eve]
  374 root     [kworker/0:1H-kb]
  375 root     [fts_wq]
  376 root     [irq/432-focal]
  378 root     [msm_cvp_workerq]
  379 root     [pm_workerq_iris]
  380 root     [irq/190-arm-smm]
  381 root     [irq/191-arm-smm]
  382 root     [irq/192-arm-smm]
  383 root     [irq/193-arm-smm]
  384 root     [npu_general_wq]
  385 root     [irq/357-ptrain-]
  386 root     [irq/434-ima-rdy]
  387 root     [irq/435-ima-xcp]
  388 root     [irq/436-dma-xcp]
  389 root     [irq/437-dma-gra]
  390 root     [irq/438-mem-att]
  391 root     [irq/439-batt-mi]
  392 root     [irq/440-batt-id]
  393 root     [irq/441-batt-te]
  394 root     [irq/442-batt-te]
  395 root     [irq/443-batt-te]
  396 root     [irq/444-vbatt-l]
  397 root     [irq/445-vbatt-p]
  398 root     [irq/446-esr-del]
  399 root     [irq/447-soc-upd]
  400 root     [irq/448-soc-rea]
  401 root     [irq/449-bsoc-de]
  402 root     [irq/450-msoc-de]
  403 root     [irq/451-msoc-lo]
  404 root     [irq/452-msoc-em]
  405 root     [irq/453-msoc-hi]
  406 root     [irq/454-msoc-fu]
  407 root     [irq/319-bcl-lvl]
