listening on /dev/input/event3 (type/time/code/value)
/dev/input/event3 2972872.998542 type=3 code=54 value=1365
/dev/input/event3 2972872.998542 type=0 code=0 value=0
/dev/input/event3 2972873.003732 type=3 code=53 value=379
/dev/input/event3 2972873.003732 type=3 code=54 value=1366
/dev/input/event3 2972873.003732 type=0 code=0 value=0
/dev/input/event3 2972873.014602 type=3 code=54 value=1367
/dev/input/event3 2972873.014602 type=0 code=0 value=0
/dev/input/event3 2972873.020217 type=3 code=53 value=380
/dev/input/event3 2972873.020217 type=0 code=0 value=0
/dev/input/event3 2972873.025272 type=3 code=54 value=1368
/dev/input/event3 2972873.025272 type=0 code=0 value=0
/dev/input/event3 2972873.036354 type=3 code=53 value=381
/dev/input/event3 2972873.036354 type=0 code=0 value=0
/dev/input/event3 2972873.052559 type=3 code=53 value=382
/dev/input/event3 2972873.052559 type=0 code=0 value=0
/dev/input/event3 2972873.057754 type=3 code=54 value=1366
/dev/input/event3 2972873.057754 type=0 code=0 value=0
/dev/input/event3 2972873.063358 type=3 code=53 value=383
/dev/input/event3 2972873.063358 type=3 code=54 value=1360
/dev/input/event3 2972873.063358 type=0 code=0 value=0
/dev/input/event3 2972873.068745 type=3 code=53 value=382
/dev/input/event3 2972873.068745 type=3 code=54 value=1350
/dev/input/event3 2972873.068745 type=0 code=0 value=0
/dev/input/event3 2972873.074037 type=3 code=53 value=380
/dev/input/event3 2972873.074037 type=3 code=54 value=1336
/dev/input/event3 2972873.074037 type=0 code=0 value=0
/dev/input/event3 2972873.079300 type=3 code=53 value=377
/dev/input/event3 2972873.079300 type=3 code=54 value=1319
/dev/input/event3 2972873.079300 type=0 code=0 value=0
/dev/input/event3 2972873.084806 type=3 code=53 value=370
/dev/input/event3 2972873.084806 type=3 code=54 value=1298
/dev/input/event3 2972873.084806 type=0 code=0 value=0
/dev/input/event3 2972873.090306 type=3 code=53 value=364
/dev/input/event3 2972873.090306 type=3 code=54 value=1276
/dev/input/event3 2972873.090306 type=0 code=0 value=0
/dev/input/event3 2972873.095680 type=3 code=53 value=357
/dev/input/event3 2972873.095680 type=3 code=54 value=1256
/dev/input/event3 2972873.095680 type=0 code=0 value=0
/dev/input/event3 2972873.101128 type=3 code=53 value=349
/dev/input/event3 2972873.101128 type=3 code=54 value=1235
/dev/input/event3 2972873.101128 type=0 code=0 value=0
/dev/input/event3 2972873.106437 type=3 code=53 value=342
/dev/input/event3 2972873.106437 type=3 code=54 value=1212
/dev/input/event3 2972873.106437 type=0 code=0 value=0
/dev/input/event3 2972873.111954 type=3 code=53 value=334
/dev/input/event3 2972873.111954 type=3 code=54 value=1190
/dev/input/event3 2972873.111954 type=0 code=0 value=0
/dev/input/event3 2972873.117120 type=3 code=53 value=326
/dev/input/event3 2972873.117120 type=3 code=54 value=1168
/dev/input/event3 2972873.117120 type=0 code=0 value=0
/dev/input/event3 2972873.122728 type=3 code=53 value=315
/dev/input/event3 2972873.122728 type=3 code=54 value=1143
/dev/input/event3 2972873.122728 type=0 code=0 value=0
/dev/input/event3 2972873.128176 type=3 code=53 value=305
/dev/input/event3 2972873.128176 type=3 code=54 value=1121
/dev/input/event3 2972873.128176 type=0 code=0 value=0
/dev/input/event3 2972873.133613 type=3 code=53 value=295
/dev/input/event3 2972873.133613 type=3 code=54 value=1100
/dev/input/event3 2972873.133613 type=0 code=0 value=0
/dev/input/event3 2972873.138779 type=3 code=53 value=286
/dev/input/event3 2972873.138779 type=3 code=54 value=1079
/dev/input/event3 2972873.138779 type=0 code=0 value=0
/dev/input/event3 2972873.144055 type=3 code=53 value=278
/dev/input/event3 2972873.144055 type=3 code=54 value=1059
/dev/input/event3 2972873.144055 type=0 code=0 value=0
/dev/input/event3 2972873.149664 type=3 code=53 value=271
/dev/input/event3 2972873.149664 type=3 code=54 value=1042
/dev/input/event3 2972873.149664 type=0 code=0 value=0
/dev/input/event3 2972873.154775 type=3 code=53 value=264
/dev/input/event3 2972873.154775 type=3 code=54 value=1026
/dev/input/event3 2972873.154775 type=0 code=0 value=0
/dev/input/event3 2972873.160518 type=3 code=53 value=259
/dev/input/event3 2972873.160518 type=3 code=54 value=1012
/dev/input/event3 2972873.160518 type=0 code=0 value=0
/dev/input/event3 2972873.165786 type=3 code=53 value=255
/dev/input/event3 2972873.165786 type=3 code=54 value=999
/dev/input/event3 2972873.165786 type=0 code=0 value=0
/dev/input/event3 2972873.171184 type=3 code=53 value=251
/dev/input/event3 2972873.171184 type=3 code=54 value=988
/dev/input/event3 2972873.171184 type=0 code=0 value=0
/dev/input/event3 2972873.176572 type=3 code=53 value=248
/dev/input/event3 2972873.176572 type=3 code=54 value=979
/dev/input/event3 2972873.176572 type=0 code=0 value=0
/dev/input/event3 2972873.182192 type=3 code=53 value=246
/dev/input/event3 2972873.182192 type=3 code=54 value=971
/dev/input/event3 2972873.182192 type=0 code=0 value=0
/dev/input/event3 2972873.187267 type=3 code=53 value=245
/dev/input/event3 2972873.187267 type=3 code=54 value=965
/dev/input/event3 2972873.187267 type=0 code=0 value=0
/dev/input/event3 2972873.192950 type=3 code=53 value=246
/dev/input/event3 2972873.192950 type=3 code=54 value=959
/dev/input/event3 2972873.192950 type=0 code=0 value=0
/dev/input/event3 2972873.198109 type=3 code=54 value=955
/dev/input/event3 2972873.198109 type=0 code=0 value=0
/dev/input/event3 2972873.219678 type=3 code=53 value=247
/dev/input/event3 2972873.219678 type=0 code=0 value=0
/dev/input/event3 2972873.225291 type=3 code=53 value=248
/dev/input/event3 2972873.225291 type=3 code=54 value=954
/dev/input/event3 2972873.225291 type=0 code=0 value=0
/dev/input/event3 2972873.230461 type=3 code=53 value=249
/dev/input/event3 2972873.230461 type=0 code=0 value=0
/dev/input/event3 2972873.235995 type=3 code=53 value=250
/dev/input/event3 2972873.235995 type=3 code=54 value=953
/dev/input/event3 2972873.235995 type=0 code=0 value=0
/dev/input/event3 2972873.241472 type=3 code=53 value=251
/dev/input/event3 2972873.241472 type=0 code=0 value=0
/dev/input/event3 2972873.246985 type=3 code=53 value=252
/dev/input/event3 2972873.246985 type=0 code=0 value=0
/dev/input/event3 2972873.252325 type=3 code=53 value=253
/dev/input/event3 2972873.252325 type=0 code=0 value=0
/dev/input/event3 2972873.257792 type=3 code=53 value=256
/dev/input/event3 2972873.257792 type=3 code=54 value=954
/dev/input/event3 2972873.257792 type=0 code=0 value=0
/dev/input/event3 2972873.263354 type=3 code=53 value=259
/dev/input/event3 2972873.263354 type=3 code=54 value=955
/dev/input/event3 2972873.263354 type=0 code=0 value=0
/dev/input/event3 2972873.268643 type=3 code=53 value=261
/dev/input/event3 2972873.268643 type=3 code=54 value=956
/dev/input/event3 2972873.268643 type=0 code=0 value=0
/dev/input/event3 2972873.273966 type=3 code=53 value=264
/dev/input/event3 2972873.273966 type=3 code=54 value=957
/dev/input/event3 2972873.273966 type=0 code=0 value=0
/dev/input/event3 2972873.279398 type=3 code=53 value=267
/dev/input/event3 2972873.279398 type=3 code=54 value=959
/dev/input/event3 2972873.279398 type=0 code=0 value=0
/dev/input/event3 2972873.284645 type=3 code=53 value=270
/dev/input/event3 2972873.284645 type=3 code=54 value=961
/dev/input/event3 2972873.284645 type=0 code=0 value=0
/dev/input/event3 2972873.289892 type=3 code=53 value=273
/dev/input/event3 2972873.289892 type=3 code=54 value=963
/dev/input/event3 2972873.289892 type=0 code=0 value=0
/dev/input/event3 2972873.295497 type=3 code=53 value=276
/dev/input/event3 2972873.295497 type=3 code=54 value=967
/dev/input/event3 2972873.295497 type=0 code=0 value=0
/dev/input/event3 2972873.300777 type=3 code=53 value=280
/dev/input/event3 2972873.300777 type=3 code=54 value=971
/dev/input/event3 2972873.300777 type=0 code=0 value=0
/dev/input/event3 2972873.306313 type=3 code=53 value=284
/dev/input/event3 2972873.306313 type=3 code=54 value=975
/dev/input/event3 2972873.306313 type=0 code=0 value=0
/dev/input/event3 2972873.311594 type=3 code=53 value=288
/dev/input/event3 2972873.311594 type=3 code=54 value=980
/dev/input/event3 2972873.311594 type=0 code=0 value=0
/dev/input/event3 2972873.317094 type=3 code=53 value=292
